train_loss,valid_loss
1.000217,0.927258
0.960242,0.913357
0.949362,0.910400
0.940880,0.906927
0.937674,0.906559
0.934209,0.907942
0.931904,0.905371
0.931837,0.903917
0.928344,0.902847
0.926760,0.901853
0.923885,0.898554
0.924333,0.899456
0.922746,0.899614
0.917601,0.883542
0.883182,0.797542
0.867108,0.783169
0.858217,0.760094
0.845098,0.737988
0.836414,0.719939
0.823761,0.690296
0.802876,0.662070
0.779729,0.633302
0.762479,0.617261
0.747371,0.588372
0.679293,0.396069
0.560847,0.390015
0.545064,0.373574
0.536621,0.369914
0.528966,0.361205
0.522906,0.361209
0.514443,0.352926
0.506705,0.343581
0.500091,0.341310
0.492504,0.329618
0.485312,0.330628
0.479144,0.328189
0.473176,0.321550
0.466910,0.319765
0.462013,0.315900
0.457002,0.318829
0.453235,0.314954
0.449244,0.315546
0.445769,0.311591
0.443364,0.310339
0.440493,0.308926
0.438469,0.307990
0.435416,0.307041
0.433009,0.309172
0.431269,0.305580
0.428959,0.310011
0.427037,0.306825
0.425433,0.307392
0.424511,0.303093
0.422937,0.302843
0.421558,0.303324
0.419694,0.305263
0.418923,0.303735
0.417242,0.304045
0.415646,0.303575
0.415728,0.304712
0.414293,0.305584
0.413349,0.303907
0.412047,0.302325
0.411131,0.302072
0.410042,0.300985
0.409801,0.301954
0.408763,0.301402
0.407391,0.301794
0.408469,0.299649
0.407695,0.302464
0.406578,0.300132
0.405593,0.302162
0.404500,0.302309
0.404704,0.300064
0.404233,0.301248
0.403856,0.300169
0.403025,0.299599
0.402587,0.299353
0.401189,0.300661
0.401261,0.299550
0.401313,0.299200
0.401219,0.301088
0.401395,0.298697
0.400400,0.299943
0.400359,0.299076
0.400552,0.299593
0.399477,0.301227
0.399950,0.299803
0.399557,0.300748
0.399452,0.299965
0.399996,0.299749
0.398729,0.299775
0.399576,0.300496
0.399232,0.298883
0.399551,0.301142
0.399387,0.299473
0.399915,0.298481
0.398600,0.299941
0.399650,0.300577
0.399762,0.299931
