train_loss,valid_loss
2.549014,3.264472
2.176023,3.151099
1.964887,3.145965
1.842107,3.467959
1.779227,3.676545
1.730063,3.670333
1.702280,3.624275
1.666750,3.629940
1.623317,3.599595
1.576527,3.769782
1.531543,3.764791
1.490370,3.545938
1.457965,3.502552
1.432673,3.663485
1.411502,3.755516
1.391049,3.857508
1.376454,3.831633
1.362051,3.716395
1.352014,3.804243
1.341233,3.964868
1.338261,3.697415
1.330538,3.716461
1.328984,3.586368
1.319158,3.468584
1.317452,3.557083
1.311318,3.249746
1.314959,3.433080
1.308385,3.286627
1.308022,3.318563
1.304421,3.444102
1.303279,3.275089
1.306306,3.448831
1.307694,3.352079
1.302410,3.384493
1.302905,3.336661
1.301584,3.268401
1.300636,3.284012
1.300320,3.323420
1.297428,3.328334
1.297079,3.253579
1.296791,3.309857
1.297996,3.385698
1.296979,3.301918
1.294131,3.217152
1.292329,3.147005
1.294778,3.171825
1.293084,3.189658
1.290218,3.205797
1.290697,3.131267
1.290452,3.052008
1.289361,3.081218
1.288750,3.136284
1.290564,3.096189
1.288622,3.088647
1.288628,3.083695
1.287094,3.077316
1.287859,3.045967
1.287067,3.052506
1.288860,3.171771
1.288019,3.009811
1.284565,3.042514
1.286772,3.080387
1.284380,3.032697
1.284296,3.044096
1.283891,3.087937
1.285836,3.039685
1.283812,3.060065
1.284634,3.053993
1.285181,3.070252
1.281860,3.080064
1.284085,3.019766
1.283845,3.038263
1.283237,3.027415
1.283180,3.001607
1.282552,3.033827
1.283519,3.037484
1.279045,3.013981
1.281532,3.049658
1.281157,3.075405
1.280805,3.021664
1.280547,3.029527
1.281864,3.074167
1.280605,3.040258
1.282118,3.021714
1.281430,3.023089
1.280371,3.057699
1.280353,3.035063
1.279997,3.008461
1.281277,3.049655
1.281259,3.047633
1.282522,3.012886
1.278477,3.015002
1.280411,3.015762
1.281426,3.041910
1.281511,3.039589
1.280654,3.073074
1.278795,3.041571
1.277524,3.036329
1.280466,3.031147
1.280822,3.029496
